fot,grade_score,region,filial,subdivision,department,unit,experience
115000,133542,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел бизнес-аналитики,1
167500,133542,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел бизнес-аналитики,24
100000,133542,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел бизнес-аналитики,9
115000,133542,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел бизнес-аналитики,11
138000,133542,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел бизнес-аналитики,13
126500,133542,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел бизнес-аналитики,23
150000,133542,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел бизнес-аналитики,10
140000,133542,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел бизнес-аналитики,25
230000,133542,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел бизнес-аналитики,11
140000,133542,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел бизнес-аналитики,22
60000,133542,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел бизнес-аналитики,10
150000,133542,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел бизнес-аналитики,30
170000,133542,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел бизнес-аналитики,24
173000,133542,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел бизнес-аналитики,3
100000,133542,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел бизнес-аналитики,30
160000,133542,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел бизнес-аналитики,14
150000,133542,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел бизнес-аналитики,23
175000,133542,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел бизнес-аналитики,16
160000,133542,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел бизнес-аналитики,15
230000,133542,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел бизнес-аналитики,26
100000,133542,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел бизнес-аналитики,11
90000,133542,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел бизнес-аналитики,4
172500,133542,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел бизнес-аналитики,8
115000,133542,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел бизнес-аналитики,22
160000,144344,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел бизнес-аналитики,9
200000,140323,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел бизнес-аналитики,5
160000,144252,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел бизнес-аналитики,25
140000,221548,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел бизнес-аналитики,29
220000,114640,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел разработки прикладных систем,12
130000,114640,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел разработки прикладных систем,29
149500,114640,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел разработки прикладных систем,28
52000,114640,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел разработки прикладных систем,21
90000,114640,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел разработки прикладных систем,5
215000,127481,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел разработки прикладных систем,2
230000,127481,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел разработки прикладных систем,21
120000,127481,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел разработки прикладных систем,19
190000,127481,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел разработки прикладных систем,2
175000,127481,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел разработки прикладных систем,17
205000,127481,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел разработки прикладных систем,29
180000,114640,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел разработки прикладных систем,25
253000,114640,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел разработки прикладных систем,8
240000,114640,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел разработки прикладных систем,17
130000,114640,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел разработки прикладных систем,28
145000,114640,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел разработки прикладных систем,18
120000,114640,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел разработки прикладных систем,30
110000,114640,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел разработки прикладных систем,20
100000,114640,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел разработки прикладных систем,23
88260.34,114640,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел разработки прикладных систем,4
138000,114640,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел разработки прикладных систем,4
126500,114640,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел разработки прикладных систем,16
230000,114640,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел разработки прикладных систем,7
140000,114640,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел разработки прикладных систем,3
184000,114640,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел разработки прикладных систем,21
140000,120701,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел системной аналитики и архитектуры,27
95000,120701,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел системной аналитики и архитектуры,30
100000,120701,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел системной аналитики и архитектуры,10
145000,120701,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел системной аналитики и архитектуры,22
140000,120701,Moscow,Головная компания,Блок информационных технологий,Департамент развития программного обеспечения,Отдел системной аналитики и архитектуры,2
