"","id","lvl","qualification","autonomy","subdiv_regulations","company_regulations","direct_juniors","func_juniors","income_influence","error_cost"
"151","таб_9581473","Сотрудник",1,1,1,1,1,1,1,1
"152","таб_8974202","Сотрудник",2,2,1,1,1,1,2,2
"153","таб_6267186","Сотрудник",1,1,1,1,1,1,1,1
"154","таб_1668101","Сотрудник",2,2,1,1,1,1,2,2
"155","таб_8666281","Сотрудник",2,2,1,1,1,1,2,2
"156","таб_8334418","Сотрудник",1,2,1,1,1,1,1,1
"157","таб_3056396","Сотрудник",3,2,1,1,1,1,1,1
"158","таб_3645202","Менеджер",4,2,2,1,2,3,3,2
"159","таб_1049577","Сотрудник",2,2,1,1,1,1,2,2
"160","таб_2126712","Менеджер",4,3,2,1,1,1,3,3
"161","таб_8931022","Сотрудник",5,3,1,1,1,1,1,2
"162","таб_9151644","Сотрудник",4,2,1,1,1,1,1,2
"163","таб_9700025","Сотрудник",1,1,1,1,1,1,1,1
"164","таб_434270","Сотрудник",2,2,1,1,1,1,2,2
"165","таб_5645373","Менеджер",4,2,2,2,3,1,1,2
"166","таб_6265206","Сотрудник",2,2,1,1,1,2,2,2
"167","таб_5965828","Сотрудник",2,2,1,1,1,1,2,2
"168","таб_8570923","Сотрудник",2,2,1,1,1,2,2,2
"169","таб_9615429","Менеджер",5,3,2,2,1,2,1,1
"170","таб_7536624","Сотрудник",1,1,1,1,1,1,2,1
"171","таб_8254444","Сотрудник",4,2,1,1,1,1,2,2
"172","таб_3819207","Сотрудник",2,2,1,1,1,1,2,2
"173","таб_4855076","Менеджер",4,3,2,1,3,1,2,1
"174","таб_4231601","Менеджер",4,2,2,1,2,1,3,3
"175","таб_7736229","Менеджер",5,5,2,4,2,1,3,3
"176","таб_7145699","Сотрудник",2,2,1,1,1,1,2,2
"177","таб_1568042","Сотрудник",2,1,1,1,1,1,1,1
"178","таб_3397468","Сотрудник",3,1,1,1,1,1,1,1
"179","таб_2848474","Менеджер",4,2,2,1,3,1,1,1
"180","таб_232854","Менеджер",4,2,2,1,2,2,3,2
"181","таб_360972","Менеджер",4,1,2,1,2,1,2,2
"182","таб_9281393","Сотрудник",2,2,1,1,1,1,2,2
"183","таб_1536648","Сотрудник",3,2,1,1,1,1,1,1
"184","таб_224908","Менеджер",4,2,2,1,2,1,1,1
"185","таб_7181933","Менеджер",4,2,2,1,2,3,3,2
"186","таб_3681932","Сотрудник",1,1,1,1,1,1,1,1
"187","таб_6321817","Сотрудник",2,2,1,1,1,2,2,2
"188","таб_1315214","Сотрудник",4,2,1,1,1,1,3,1
"189","таб_6706308","Сотрудник",2,2,1,1,1,1,2,1
"190","таб_2851110","Сотрудник",2,2,1,1,1,2,2,2
"191","таб_3971062","Сотрудник",2,2,1,1,1,1,2,2
"192","таб_1829345","Сотрудник",1,1,1,1,1,1,2,1
"193","таб_8573726","Сотрудник",2,2,1,1,1,1,2,2
"194","таб_8038401","Сотрудник",2,2,1,1,1,1,2,2
"195","таб_9960816","Сотрудник",2,2,1,1,1,1,2,2
"196","таб_4189627","Сотрудник",3,2,1,1,1,1,1,1
"197","таб_2655192","Сотрудник",2,2,1,1,1,1,2,2
"198","таб_1824794","Сотрудник",4,2,1,1,1,1,1,2
"199","таб_971554","Менеджер",3,2,2,1,2,1,1,2
"200","таб_5412768","Сотрудник",5,3,2,1,1,1,1,3
"201","таб_1444917","Сотрудник",4,3,1,1,1,1,1,1
"202","таб_1188410","Сотрудник",4,2,1,1,1,1,3,1
"203","таб_6952830","Сотрудник",2,2,1,1,1,1,2,2
"204","таб_4574537","Сотрудник",2,1,1,1,1,1,2,2
"205","таб_4830512","Сотрудник",4,2,1,1,1,1,2,2
"206","таб_2784687","Сотрудник",3,2,2,1,1,1,1,1
"207","таб_7287977","Сотрудник",2,2,1,1,1,1,2,2
"208","таб_7013908","Менеджер",5,3,2,1,1,2,3,1
"209","таб_6787992","Сотрудник",4,2,1,1,1,1,1,1
"210","таб_5049599","Сотрудник",2,2,1,1,1,1,2,2
"211","таб_5441111","Сотрудник",5,3,2,1,1,1,1,3
"212","таб_8190187","Менеджер",2,3,2,1,2,2,3,3
"213","таб_4821934","Менеджер",4,3,2,1,2,4,3,2
"214","таб_4038515","Сотрудник",2,1,1,1,1,1,2,2
"215","таб_2618945","Сотрудник",2,2,1,1,1,1,2,1
"216","таб_9888450","Менеджер",4,2,2,1,2,3,3,2
"217","таб_8228797","Сотрудник",2,1,1,1,1,1,1,1
"218","таб_1720930","Менеджер",4,3,1,1,1,1,3,2
"219","таб_6032619","Сотрудник",2,2,1,1,1,1,2,2
"220","таб_842699","Сотрудник",2,2,1,1,1,1,2,2
"221","таб_4136282","Сотрудник",2,2,1,1,1,1,2,2
"222","таб_9553211","Сотрудник",2,2,1,1,1,1,1,1
"223","таб_5807369","Менеджер",4,2,2,1,2,4,3,3
"224","таб_333931","Сотрудник",2,2,1,1,1,1,2,2
"225","таб_2377908","Сотрудник",2,2,1,1,1,1,2,2
"226","таб_5669033","Сотрудник",4,2,1,1,1,1,1,2
"227","таб_3317872","Менеджер",2,3,2,1,2,2,3,3
"228","таб_5522393","Сотрудник",4,3,2,1,1,1,1,1
"229","таб_3974227","Менеджер",5,3,2,3,1,2,4,2
"230","таб_9068138","Сотрудник",2,2,1,1,1,1,2,2
"231","таб_9399712","Сотрудник",2,2,1,1,1,1,1,1
"232","таб_4189838","Сотрудник",2,2,1,1,1,1,2,2
"233","таб_774693","Сотрудник",1,1,1,1,1,1,2,1
"234","таб_3199892","Менеджер",4,2,2,1,2,3,3,2
"235","таб_875474","Сотрудник",4,2,1,1,1,1,2,2
"236","таб_3599821","Сотрудник",2,2,1,1,1,1,2,2
"237","таб_754549","Сотрудник",2,2,1,1,1,1,1,1
"238","таб_2267825","Сотрудник",3,1,1,1,1,1,1,1
"239","таб_4472679","Сотрудник",2,1,1,1,1,1,1,1
"240","таб_1986223","Сотрудник",2,1,1,1,1,1,2,2
"241","таб_2935468","Менеджер",2,3,2,1,2,2,3,3
"242","таб_6592378","Менеджер",2,2,2,1,2,3,2,2
"243","таб_9278381","Сотрудник",4,3,1,1,1,1,1,1
"244","таб_1355970","Сотрудник",4,2,1,1,1,1,2,2
"245","таб_1702451","Сотрудник",4,2,2,1,1,1,1,2
"246","таб_587610","Сотрудник",2,2,1,1,1,1,2,1
"247","таб_1894628","Сотрудник",2,1,1,1,1,1,2,2
"248","таб_9092059","Сотрудник",1,1,1,1,1,1,1,1
"249","таб_1563546","Менеджер",3,2,2,1,2,1,1,2
"250","таб_5404242","Сотрудник",3,2,1,1,1,1,1,2
"251","таб_6435945","Сотрудник",2,2,1,1,1,1,1,1
"252","таб_2735817","Менеджер",2,2,2,1,2,1,2,2
"253","таб_3567807","Сотрудник",2,1,1,1,1,1,1,1
"254","таб_7406828","Менеджер",5,3,2,1,1,2,3,1
"255","таб_2289946","Сотрудник",4,2,1,1,1,1,2,2
"256","таб_2131257","Сотрудник",2,2,1,1,1,1,2,2
"257","таб_8550722","Сотрудник",4,2,1,1,1,1,1,1
"258","таб_8315626","Сотрудник",3,2,1,1,1,1,1,1
"259","таб_6911579","Менеджер",5,4,2,4,3,1,3,3
"260","таб_9418326","Сотрудник",4,2,1,1,1,1,2,2
"261","таб_9832188","Сотрудник",2,1,1,1,1,1,2,2
"262","таб_9238921","Сотрудник",2,2,1,1,1,1,2,1
"263","таб_517892","Сотрудник",4,3,1,1,1,1,1,1
"264","таб_2814252","Сотрудник",1,1,1,1,1,1,2,1
"265","таб_6389074","Сотрудник",2,2,1,1,1,2,2,2
"266","таб_1464206","Сотрудник",2,2,1,1,1,1,2,2
"267","таб_9459308","Сотрудник",1,1,1,1,1,1,2,1
"268","таб_5480220","Менеджер",2,2,2,1,2,1,2,2
"269","таб_57539","Менеджер",2,3,2,1,2,2,3,3
"270","таб_2225211","Сотрудник",2,1,1,1,1,1,2,2
"271","таб_8899303","Сотрудник",1,1,1,1,1,1,1,1
"272","таб_9393942","Сотрудник",2,1,1,1,1,1,1,1
"273","таб_8809587","Сотрудник",2,2,1,1,1,1,2,2
"274","таб_8405881","Сотрудник",4,3,2,1,1,1,3,3
"275","таб_7210092","Менеджер",5,3,2,2,1,2,1,2
"276","таб_2956891","Сотрудник",4,2,1,1,1,1,1,1
"277","таб_5985074","Сотрудник",2,2,1,1,1,1,2,2
"278","таб_1972895","Сотрудник",2,2,1,1,1,1,2,2
"279","таб_3417152","Менеджер",4,2,2,1,2,2,3,2
"280","таб_2810429","Сотрудник",2,1,1,1,1,1,1,1
"281","таб_3397107","Сотрудник",2,2,1,1,1,1,2,2
"282","таб_7529378","Менеджер",2,2,2,1,2,1,2,2
"283","таб_5296818","Сотрудник",1,1,1,1,1,1,1,1
"284","таб_4380401","Менеджер",4,2,2,1,2,3,3,2
"285","таб_6387042","Сотрудник",1,1,1,1,1,1,2,1
"286","таб_9424035","Сотрудник",2,2,1,1,1,1,1,1
"287","таб_4385030","Сотрудник",2,2,1,1,1,1,2,2
"288","таб_4731495","Сотрудник",2,2,1,1,1,1,2,2
"289","таб_2424213","Сотрудник",4,2,1,1,1,1,2,2
"290","таб_4008133","Менеджер",4,2,2,1,2,4,3,3
"291","таб_9594346","Менеджер",2,3,2,1,2,2,3,3
"292","таб_3092873","Сотрудник",2,2,1,1,1,1,2,2
"293","таб_6987940","Менеджер",5,3,2,1,2,1,4,2
"294","таб_3566335","Сотрудник",2,1,1,1,1,1,2,2
"295","таб_510765","Менеджер",6,4,3,1,2,1,1,4
"296","таб_3238217","Сотрудник",2,2,1,1,1,1,2,2
"297","таб_8961819","Сотрудник",1,1,1,1,1,1,2,1
"298","таб_1360701","Сотрудник",5,2,2,1,1,1,1,1
"299","таб_8185528","Менеджер",4,2,1,1,1,1,2,2
"300","таб_1293657","Сотрудник",2,2,2,1,1,1,1,1
"301","таб_9664045","Сотрудник",2,2,1,1,1,1,2,2
"302","таб_3600183","Менеджер",4,2,2,1,2,1,1,1
"303","таб_6328414","Сотрудник",2,1,1,1,1,1,1,1
"304","таб_8676929","Сотрудник",2,2,1,1,1,1,2,2
"305","таб_7352114","Менеджер",4,2,2,1,2,1,3,3
"306","таб_1017540","Сотрудник",2,2,1,1,1,1,2,2
"307","таб_5570791","Сотрудник",4,4,2,3,1,1,1,3
"308","таб_5355735","Сотрудник",2,2,1,1,1,1,2,2
"309","таб_4022637","Сотрудник",5,2,2,1,1,1,1,2
"310","таб_5512052","Менеджер",2,2,2,1,2,1,2,2
"311","таб_302044","Менеджер",4,2,2,1,2,3,3,2
"312","таб_650344","Сотрудник",2,2,1,1,1,1,2,2
"313","таб_1043977","Менеджер",4,2,2,1,2,4,3,3
"314","таб_7516842","Менеджер",2,3,2,1,2,2,3,3
"315","таб_6545594","Сотрудник",2,1,1,1,1,1,2,2
"316","таб_2694894","Менеджер",5,3,2,1,2,1,3,2
"317","таб_4168883","Сотрудник",2,2,1,1,1,1,1,1
"318","таб_2039464","Сотрудник",1,1,1,1,1,1,2,1
"319","таб_5620625","Сотрудник",1,1,1,1,1,1,1,1
"320","таб_1903563","Менеджер",2,3,2,1,2,2,3,3
"321","таб_8919608","Менеджер",4,2,2,1,2,4,3,3
"322","таб_6214700","Сотрудник",2,2,1,1,1,1,2,2
"323","таб_5939527","Менеджер",4,2,2,1,2,1,3,2
"324","таб_6254999","Сотрудник",2,1,1,1,1,1,1,1
"325","таб_9554647","Сотрудник",2,2,1,1,1,1,2,2
"326","таб_3842879","Сотрудник",1,1,1,1,1,1,1,1
"327","таб_1633233","Сотрудник",3,2,1,1,1,1,1,1
"328","таб_9153387","Сотрудник",4,3,1,1,1,1,1,1
"329","таб_7416074","Сотрудник",2,2,1,1,1,1,2,2
"330","таб_2295776","Сотрудник",4,2,1,1,1,1,2,2
"331","таб_8824861","Менеджер",5,3,2,1,1,1,3,2
"332","таб_6619442","Сотрудник",2,2,1,1,1,2,2,1
"333","таб_7504951","Сотрудник",2,2,1,1,1,1,2,2
"334","таб_5340165","Сотрудник",2,2,1,1,1,1,2,2
"335","таб_2034547","Менеджер",4,2,2,1,2,2,3,2
"336","таб_1356095","Сотрудник",2,2,1,1,1,2,2,2
"337","таб_2851489","Менеджер",4,1,2,1,2,1,2,2
"338","таб_5154438","Сотрудник",5,2,1,1,1,1,1,1
"339","таб_1171038","Менеджер",2,3,2,1,2,2,3,3
"340","таб_4297943","Сотрудник",2,2,1,1,1,1,2,2
"341","таб_2627747","Сотрудник",2,2,1,1,1,1,2,2
"342","таб_163723","Сотрудник",1,1,1,1,1,1,1,1
"343","таб_6896107","Сотрудник",1,1,1,1,1,1,2,1
"344","таб_2885786","Сотрудник",2,2,1,1,1,1,2,2
"345","таб_5060771","Сотрудник",2,2,1,1,1,1,2,2
"346","таб_7502217","Сотрудник",1,1,1,1,1,1,1,1
"347","таб_4264583","Сотрудник",4,3,1,1,1,1,1,1
"348","таб_5816416","Сотрудник",2,1,1,1,1,1,2,2
"349","таб_736789","Сотрудник",1,1,1,1,1,1,1,1
"350","таб_1394397","Сотрудник",2,2,1,1,1,1,2,1
"351","таб_6431262","Сотрудник",2,2,1,1,1,1,2,2
"352","таб_3547563","Менеджер",4,2,2,1,2,1,3,3
"353","таб_3916120","Сотрудник",2,2,1,1,1,1,2,2
"354","таб_521204","Сотрудник",2,2,1,1,1,1,2,1
"355","таб_1851317","Сотрудник",1,1,1,1,1,1,1,1
"356","таб_5757770","Менеджер",4,2,2,1,2,3,3,2
"357","таб_2451526","Сотрудник",1,2,1,1,1,1,1,1
"358","таб_131203","Сотрудник",4,2,1,1,1,1,1,1
"359","таб_8989520","Менеджер",4,3,2,2,1,2,1,1
"360","таб_4807440","Сотрудник",2,1,1,1,1,1,2,2
"361","таб_9731147","Сотрудник",2,2,1,1,1,1,2,2
"362","таб_6855419","Сотрудник",1,1,1,1,1,1,1,1
"363","таб_98470","Сотрудник",2,2,1,1,1,2,2,2
"364","таб_1100884","Сотрудник",2,2,1,1,1,1,2,2
"365","таб_5195983","Сотрудник",3,2,1,1,1,1,1,2
"366","таб_5823786","Менеджер",4,2,2,1,2,3,3,2
"367","таб_6443047","Сотрудник",2,2,1,1,1,1,2,2
"368","таб_7130110","Сотрудник",1,1,1,1,1,1,2,1
"369","таб_3909533","Сотрудник",2,2,1,1,1,1,1,1
"370","таб_5202266","Сотрудник",1,1,1,1,1,1,1,1
"371","таб_9631764","Сотрудник",4,2,2,3,1,2,1,1
"372","таб_5813555","Менеджер",5,2,2,2,1,1,4,2
"373","таб_1178887","Сотрудник",3,2,1,1,1,1,1,1
"374","таб_1666845","Сотрудник",1,1,1,1,1,1,1,1
"375","таб_807556","Сотрудник",5,2,1,1,1,1,2,3
"376","таб_5897560","Сотрудник",2,1,1,1,1,1,1,1
"377","таб_2556345","Сотрудник",4,2,1,1,1,1,2,2
"378","таб_3190391","Менеджер",4,2,2,1,2,3,3,2
"379","таб_539377","Сотрудник",2,2,1,1,1,1,2,2
"380","таб_511188","Сотрудник",4,2,2,2,2,1,1,1
"381","таб_7293810","Сотрудник",2,2,1,1,1,1,2,2
"382","таб_7755784","Сотрудник",2,2,1,1,1,1,2,2
"383","таб_6496329","Менеджер",6,4,3,4,2,1,3,4
"384","таб_7745384","Сотрудник",1,1,1,1,1,1,1,1
"385","таб_3197281","Сотрудник",4,2,1,1,1,1,3,1
"386","таб_563986","Менеджер",4,1,2,1,2,1,2,2
"387","таб_2795246","Сотрудник",1,1,1,1,1,1,1,1
"388","таб_425018","Менеджер",4,2,2,1,2,3,3,2
"389","таб_7949590","Сотрудник",1,2,1,1,1,1,1,1
"390","таб_1469490","Сотрудник",2,2,1,1,1,1,1,1
"391","таб_2271088","Менеджер",5,4,2,3,5,1,3,1
"392","таб_70470","Сотрудник",4,2,1,1,1,2,1,1
"393","таб_3006705","Менеджер",4,2,2,1,2,1,3,2
"394","таб_1811883","Сотрудник",1,1,1,1,1,1,1,1
"395","таб_4326268","Сотрудник",2,1,1,1,1,1,1,1
"396","таб_4340330","Сотрудник",2,2,1,1,1,1,1,1
"397","таб_2282617","Сотрудник",5,2,2,1,1,1,1,2
"398","таб_2843282","Сотрудник",2,2,1,1,1,1,2,2
"399","таб_7415411","Сотрудник",2,2,1,1,1,1,2,1
"400","таб_2415011","Сотрудник",2,2,1,1,1,1,2,2
"401","таб_6860684","Сотрудник",2,1,1,1,1,1,2,2
"402","таб_4401047","Сотрудник",2,2,1,1,1,1,1,1
"403","таб_2159790","Сотрудник",1,1,1,1,1,1,1,1
"404","таб_822470","Сотрудник",2,2,1,1,1,1,2,2
"405","таб_7817662","Менеджер",5,3,2,2,1,2,1,3
"406","таб_2385384","Сотрудник",2,2,1,1,1,1,2,1
"407","таб_2300860","Сотрудник",2,1,1,1,1,1,1,2
"408","таб_1218733","Сотрудник",2,2,1,1,1,1,2,2
"409","таб_1907445","Менеджер",6,4,2,3,2,3,5,4
"410","таб_3460420","Сотрудник",5,3,2,1,2,1,1,1
"411","таб_284457","Сотрудник",2,1,1,1,1,1,2,2
"412","таб_3176532","Сотрудник",4,2,1,1,1,1,1,1
"413","таб_8045875","Сотрудник",2,2,1,1,1,1,2,2
"414","таб_2615896","Сотрудник",1,1,1,1,1,1,1,1
"415","таб_1210960","Сотрудник",1,1,1,1,1,1,1,1
"416","таб_85233","Менеджер",5,3,2,2,1,2,1,2
"417","таб_3610428","Сотрудник",2,1,1,1,1,1,2,2
"418","таб_5292097","Сотрудник",1,2,1,1,1,1,1,1
"419","таб_6274459","Сотрудник",1,1,1,1,1,1,1,1
"420","таб_252466","Сотрудник",2,2,1,1,1,1,2,2
"421","таб_2403353","Сотрудник",2,2,1,1,1,1,2,2
"422","таб_3442149","Менеджер",4,1,2,1,2,1,2,2
"423","таб_2101077","Сотрудник",2,1,1,1,1,1,1,1
"424","таб_7472516","Сотрудник",4,2,1,1,1,1,1,1
"425","таб_2344891","Менеджер",4,2,2,1,2,1,3,3
