Отметка времени;Id;Пол;Возраст;Максимальный рейтинг в Доте;Рейтинг в доте на данный момент;Количество часов в игре (хотя бы примерное);Какое количество игр в среднем ты играешь в неделю? ;У меня ухудшается настроение, если я долго не играю в Доту 2;Почти все свое свободное время я трачу на Доту 2;Я часто играю больше, чем нужно, так как не могу остановиться (регаю новую игру);"Когда я играю в Доту я полностью над ней сосредоточен (не играю ""фо фан"")";С каждой неделей/месяцем я провожу в Доте все больше времени, чем раньше;Я часто регаю некст игру несмотря на дискомфорт (я могу играть голодный, не выспавшийся, в плохом самочувствии и т.д.);Я не рассказываю семье/друзьям о количестве часов, которое я провожу в Доте;Дота позволяет мне забыть о стрессе и жизненных проблемах ирл;Из-за количества часов, проводимых в игре я хуже учусь/работаю/выполняю иные задачи;Каждую игру в доте я играю на победу;Я часто играю в доту фо фан - мне интересен сам процесс игры (пробую разные сборки, новых героев, связки и тд);Если мне откровенно руинят игру тиммейты, я могу заруинить им в ответ;Я могу ливнуть из игры/встать в амулет, если что-то идет не так;У меня есть конкретная цель - апнуть птсы (например: взять 6к mmr или медаль властелина/дивайна/титана);Я играю в доту для того, чтобы побеждать;В доте слишком многое зависит не от меня и моей игры;Если я проигрываю, то это чаще всего связано с плохой игрой тиммейтов;Если бы у меня была сильная команда в каждой игре, я бы почти не проигрывал;Мой возможный птс намного больше, чем мой актуальный ;Я долгое время сижу на одном и том же рейтинге без видимого прогресса;У меня часто пропадает желание играть, когда мои тиммейты играют плохо;MMR - это всего лишь цифра, она не показывает реальный скилл игрока;Напиши трех героев, на которых у тебя сыграно больше всего игр, количество и винрейт на этих персонажах (например: Пудж, 152 игры, 56%):
2021/11/08 1:14:32 PM GMT+3;18;М;21;3700;2800;2500;6-10 игр (пару дней в неделю стабильно-дота);2;2;1;3;1;2;3;1;1;3;3;1;1;2;4;2;2;3;3;3;2;3;"Puck, 137, 51,82%
Dazzle, 98, 62.24%
Queen of Pain, 73, 47.95%"
2021/11/08 1:14:48 PM GMT+3;19;М;16;3000;2220;4019;11-20 игр (почти каждый день по несколько игр);3;2;2;3;1;1;1;5;1;5;3;1;1;4;5;1;3;5;5;4;4;5;СФ 210 53%, Магнус 182 47%, МК 110 50%
2021/11/08 1:15:01 PM GMT+3;20;М;23;4900;Пару аккаунтов от 1000-до 4900;По 6к;11-20 игр (почти каждый день по несколько игр);2;3;3;5;3;2;4;3;2;4;2;2;2;5;4;3;3;5;5;3;2;2;Wisp, phoenix, techis
2021/11/08 1:15:23 PM GMT+3;21;М;15;1000;530;960;1-5 игр (по выходным чисто пару каток);1;2;1;3;1;2;2;2;1;5;3;2;2;4;5;3;2;4;3;4;5;2;"Гримстрок, 170 игр, 60%
Войд спирит 165 игр, 51%
Антимаг 100 игр, 54%"
2021/11/08 1:15:45 PM GMT+3;22;М;19;1300;1230;2000;11-20 игр (почти каждый день по несколько игр);2;1;1;3;2;2;1;4;3;3;4;2;1;1;3;2;3;4;3;3;4;5;"Джагер, 70 игр, 66%; брист, 130 игр, 71%; фантомка, 34 игры, 60%"
2021/11/08 1:15:49 PM GMT+3;23;М;23;2400;1950;6000;20-30 игр (каждый день по несколько игр);2;4;3;5;1;5;1;3;4;5;1;3;2;5;5;2;1;3;4;1;1;1;"Riki, 397 игр, 60.5%
Skywrath Mage, 162 игры, 50%
Juggernaut, 157 игр, 52.8%"
2021/11/08 1:15:59 PM GMT+3;24;М;15;500;470;599;1-5 игр (по выходным чисто пару каток);1;1;1;4;1;5;3;5;1;4;5;5;4;1;2;4;1;2;3;5;4;5;Некрофос 52 игры 52%
2021/11/08 1:16:07 PM GMT+3;25;М;19;4800;3990;3300;6-10 игр (пару дней в неделю стабильно-дота);1;2;2;5;1;1;2;4;2;5;1;2;2;3;5;3;2;4;3;2;1;2;"Сларк, 177 игр, 54,8%; врка, 132 игры, 55,3%; джагер, 103 игры, 55,3%"
2021/11/08 1:16:15 PM GMT+3;26;М;21;Не помню;720 где-то;Около 800, может быть(играю с 2012 года с разной периодичностью, где-то раз в год накатывает поиграть просто);6-10 игр (пару дней в неделю стабильно-дота);1;1;2;3;2;3;1;4;2;3;4;1;1;4;3;2;1;4;2;4;1;3;"Dazzle
7 дней назад
58
46.55%

Lich
23 дня назад
34
35.29%

Crystal Maiden
10 дней назад
31
41.94%"
2021/11/08 1:16:28 PM GMT+3;27;М;19;3900;1200;10000;Больше 30 игр (по много пабликов каждый день);5;2;5;5;3;4;3;5;1;4;1;3;4;4;4;1;3;1;5;3;4;4;"Sf, 500 матчей, 68%; Рики, 70 матчей, 64%; Ланая,89 матчей 53%"
2021/11/08 1:16:41 PM GMT+3;28;М;20;3000;1200;2-3k;6-10 игр (пару дней в неделю стабильно-дота);2;4;3;3;2;5;4;2;2;4;3;2;1;5;4;3;2;1;5;1;2;3;не помню 
2021/11/08 1:16:42 PM GMT+3;29;М;20;2530;2530;700;Больше 30 игр (по много пабликов каждый день);1;1;5;4;1;5;5;1;5;5;1;1;1;5;5;3;1;5;3;1;2;2;НС 300 ДК 200 Вайпер 60 (я просто недавно бросил игру и отвечал от имени себя 2месяца назад, по этому там есть некоторые разбежности)
2021/11/08 1:16:46 PM GMT+3;30;М;21;2800;1600;4500;1-5 игр (по выходным чисто пару каток);1;1;3;2;1;4;3;5;4;3;4;3;1;4;4;3;2;3;3;4;2;3;Сларк 205 игр - 59,51%, тинкер 150 игр - 54%,сф 134 игры - 57,46%
2021/11/08 1:16:56 PM GMT+3;31;М;19;1600;1400;1700;6-10 игр (пару дней в неделю стабильно-дота);2;2;1;3;1;3;1;3;2;4;2;3;1;5;4;4;2;5;2;4;3;4;(кункка 96 игр, 53,8%) (земеля 28 игр, 64,3%) (феникс 30 игр, 56,7%)
2021/11/08 1:16:57 PM GMT+3;32;М;20;4500;3900;7800;20-30 игр (каждый день по несколько игр);4;3;4;4;1;2;3;5;4;5;2;2;2;5;4;2;2;4;4;4;2;1;"shadow fiend 360/52%; antimage 320/55%;  bounty hunter 230/57%"
2021/11/08 1:16:57 PM GMT+3;33;М;16;2080;1950;1.5к;11-20 игр (почти каждый день по несколько игр);2;5;1;3;1;1;3;1;1;4;3;1;1;5;5;1;1;3;1;1;1;4;Кунка, 270 игр, 60%
2021/11/08 1:17:00 PM GMT+3;34;М;13;0;0;220;20-30 игр (каждый день по несколько игр);3;5;4;2;5;2;1;5;1;3;3;1;1;5;3;1;1;3;2;4;2;4;"Тини, 46 игр, 69%
Monkey King, 24 игры, 66%
Тролль, 12 игр, 100%"
2021/11/08 1:17:02 PM GMT+3;35;М;31;2800;2100;6500;6-10 игр (пару дней в неделю стабильно-дота);3;3;2;5;3;4;4;4;3;5;1;4;1;5;5;3;2;3;3;4;2;3;"Underlord, 149 игр, 55.03%
Wraith King, 145 игр, 57.24%
Necrophos, 113 игр, 59.29%"
2021/11/08 1:17:12 PM GMT+3;36;М;16;3000;2000;~2000;20-30 игр (каждый день по несколько игр);1;3;2;3;2;4;5;4;3;4;2;2;1;4;4;2;3;2;2;4;4;2;Вайпер, ~220 игр, 55%. Фантом лансер, ~90 игр, 53%, Скаймаг ~70 игр, 60%
2021/11/08 1:17:36 PM GMT+3;37;М;18;2000;1600;2500;6-10 игр (пару дней в неделю стабильно-дота);3;1;1;5;1;2;3;4;4;5;2;1;1;4;4;2;3;3;5;1;1;4;Инвокер: 285 игр, 53%, Тинкер 116 игр, 57%, Морф 86 игр 60%
2021/11/08 1:17:42 PM GMT+3;38;М;15 лет;1500;1500;Формально 2200, фактически 1000;11-20 игр (почти каждый день по несколько игр);2;3;3;3;3;3;5;1;5;3;4;5;4;1;5;3;1;5;1;3;5;1;Вивер, 24 игры. 66%. Клинкз, 28 игр, 67%. Сларк, 33 игры, 57 %
2021/11/08 1:18:15 PM GMT+3;39;Ж;23;4200;3900;700;11-20 игр (почти каждый день по несколько игр);1;1;2;3;2;1;2;3;4;3;5;1;1;1;3;4;5;5;1;5;2;5;Цм 150 игр 63%, Бейн 120 игр 58%, раста 80 игр 52%.
2021/11/08 1:18:27 PM GMT+3;40;М;23;1500;1400;3500;1-5 игр (по выходным чисто пару каток);5;1;1;3;1;1;3;4;5;3;5;2;2;1;1;5;2;2;3;5;5;1;течис 225 игр 70%, земеля 115 игр 48%, миппо 100 игр 15%
2021/11/08 1:18:34 PM GMT+3;41;М;18;3000;2400;800;6-10 игр (пару дней в неделю стабильно-дота);1;2;2;3;1;2;1;3;1;5;2;1;2;3;2;2;3;5;3;2;1;3;Джагернаут, 67 игр, 47%. Рубкик 42 игры, 52.5%. Лайфстилер 34 игры, 70%.
2021/11/08 1:18:43 PM GMT+3;42;М;25;2150;1100;4300;11-20 игр (почти каждый день по несколько игр);3;4;2;5;2;4;2;5;4;5;2;2;2;5;5;3;2;3;4;5;3;4;Венга 183 игры, 58%. ВК 106 игр, 57%. Андерлорд 77 игр, 68%.
2021/11/08 1:18:46 PM GMT+3;43;М;22;310;10;300;11-20 игр (почти каждый день по несколько игр);1;5;5;5;1;5;1;1;1;5;5;1;1;1;5;3;2;4;5;5;5;5;Шторм 69 игр 49 % ,феникс 40 игр 62 %
2021/11/08 1:18:46 PM GMT+3;44;М;26;4300;3400;3000;Больше 30 игр (по много пабликов каждый день);2;4;5;5;2;2;5;5;5;4;2;1;1;5;5;1;1;3;4;1;4;1;Панго, около 600 с разных акков, 57%, войд спирит, 300 игр,  50%, такс, 150 игр, 50%
2021/11/08 1:18:48 PM GMT+3;45;М;25;1800;650;1200;6-10 игр (пару дней в неделю стабильно-дота);3;1;1;4;2;1;1;2;1;4;4;2;2;1;3;4;4;3;3;2;5;4;"Necrophos, 58, 62%
Witch Doctor, 53, 58%
Omniknight, 47, 78%"
2021/11/08 1:18:52 PM GMT+3;46;М;25;900;170 :D;1400;6-10 игр (пару дней в неделю стабильно-дота);2;1;3;3;3;2;1;4;1;3;2;1;1;3;4;2;3;2;4;3;3;3;"Андаинг, 25/48%; Веномансер, 23/60%; ВР, 18/44%"
2021/11/08 1:18:55 PM GMT+3;47;М;21;2к;1.5к;1500;Больше 50 игр (хочу быть как ILTW, тренируюсь каждый день нон-стоп);2;3;3;5;3;2;1;4;2;5;1;1;2;5;5;3;3;4;5;5;4;1;На тех героях, где у меня больше всего матчей я не играл больше полугода. Сейчас сижу на фениксе, вдохновившись твоей игрой.
2021/11/08 1:19:06 PM GMT+3;48;М;17;1000;800;869;20-30 игр (каждый день по несколько игр);3;4;2;3;2;1;5;4;4;3;2;2;1;4;3;1;1;2;2;5;3;1;Шторм,125 игр 49,6%, Зевс 37 игр 75,68%
2021/11/08 1:19:25 PM GMT+3;49;М;21;2 400;2 260;2 500;11-20 игр (почти каждый день по несколько игр);1;1;3;2;1;2;2;1;1;3;5;1;1;2;3;2;2;3;2;1;2;3;"Windranger, 131 игры, 57,25%; Legion Commander 67 игры, 59,70%; Snapfire 61 игра, 47.54%"
2021/11/08 1:19:35 PM GMT+3;50;М;19;3020;2675;400;1-5 игр (по выходным чисто пару каток);1;2;3;1;1;1;1;4;1;3;5;1;3;1;3;2;2;5;5;2;5;5;"Лега, 57 игр, 61%
Пангольер, 55 игр, 41%
ЦК, 51 игра, 77%"
2021/11/08 1:19:45 PM GMT+3;51;М;18;2990;2350;1500;6-10 игр (пару дней в неделю стабильно-дота);3;1;2;5;1;4;2;3;1;5;2;4;2;3;4;3;3;4;4;3;4;4;"Варлок, 86 игр,59,3% ; дазл, 67 игр, 59% ; визаж, 65 игр, 73,85%"
2021/11/08 1:19:46 PM GMT+3;52;М;21;3200;2970;4000;1-5 игр (по выходным чисто пару каток);2;2;2;4;3;2;1;3;2;4;4;1;1;5;4;2;2;4;5;5;2;1;"Баланар 120 игр 68%; Пудж 50 игр 70%; Бара 40 игр 70%"
2021/11/08 1:19:47 PM GMT+3;53;М;25;4600;4400;6000;6-10 игр (пару дней в неделю стабильно-дота);3;1;3;4;1;4;2;5;3;4;2;1;1;1;5;1;1;2;2;2;2;1;"Dark willow, 310 игр,  61%
Инвокер, 350 игр, 49%
Мипо, игр 200, 57% 
2 аккаунта с почти одинаковым ммр,  количество игр складывал. А винрейт брал с того акка,  где игр больше на одном герое. Пруфы есть)"
2021/11/08 1:19:52 PM GMT+3;54;М;27;4200;3600;7000;6-10 игр (пару дней в неделю стабильно-дота);2;1;1;2;1;1;3;4;3;4;2;5;2;2;4;4;3;5;2;5;5;3;Фурион,2000 игр,59% винрейт
2021/11/08 1:19:55 PM GMT+3;55;М;27;3100;1700;суммарно на 2ъ аккаунтах примерно 7к;1-5 игр (по выходным чисто пару каток);2;1;1;3;2;2;1;4;1;3;3;2;1;2;4;2;1;4;4;5;2;3;Пудж - 133 игры, 48% / Джагер - 127 игр, 47% / Войд - 109 игр, 48%
2021/11/08 1:20:06 PM GMT+3;56;М;17;3590;3520;2312;6-10 игр (пару дней в неделю стабильно-дота);2;4;4;5;2;4;5;5;5;4;4;1;1;5;4;4;2;5;2;4;2;2;//Чен, 114 игры, 55%// Андерлорд, 73 игры, 68%// Люкан 57 игр 63%//
2021/11/08 1:20:09 PM GMT+3;57;М;18;1000;700;1200;11-20 игр (почти каждый день по несколько игр);3;3;4;4;2;1;2;5;3;3;3;1;1;2;5;4;3;4;3;3;4;5;"Вайпер, 157 игр, 48%; Инвокер, 112 игр 47%; Войд спирит, 104игры, 47%."
2021/11/08 1:20:11 PM GMT+3;58;М;15;7130;7130;3000;Больше 30 игр (по много пабликов каждый день);3;2;3;5;1;1;2;2;1;5;4;1;1;3;5;2;2;3;5;2;3;1;Инвокер, 1700 игр, 59%. Висп, 470 игр, 63%. Рубик, 400 игр, 53%
2021/11/08 1:20:11 PM GMT+3;59;М;20;2500;2000;3000;6-10 игр (пару дней в неделю стабильно-дота);2;3;2;5;1;1;5;5;4;5;1;1;1;3;5;2;3;3;3;2;4;3;рубик 130 56%,дум 52 68%, зомби 54 52%
2021/11/08 1:20:15 PM GMT+3;60;М;17;Нет рейтинга;Нету;140;11-20 игр (почти каждый день по несколько игр);5;2;5;5;3;4;4;5;4;5;1;4;2;3;5;4;5;5;5;4;4;4;Draw Ranger, pugna, phantom assasin
2021/11/08 1:20:15 PM GMT+3;61;М;26;6800;6200;15000;11-20 игр (почти каждый день по несколько игр);1;1;1;3;1;1;1;3;2;3;3;1;1;1;3;2;2;2;4;3;2;4;"инвокер, 467 игры, 58,46%
пудж, 382 игры, 60,99%
сларк, 286 игры, 65,38%"
2021/11/08 1:20:17 PM GMT+3;62;М;19;2100;1347;3462;6-10 игр (пару дней в неделю стабильно-дота);3;1;4;5;2;4;3;2;4;5;2;1;1;2;4;4;3;3;3;5;4;5;"Оракл, 88 игр, 48%; Пудж 112 игры, 52%; ВРка, 145 игр, 62%"
2021/11/08 1:20:21 PM GMT+3;63;М;15;790;790;890;Больше 30 игр (по много пабликов каждый день);1;3;1;4;1;1;1;5;1;5;3;1;1;1;5;5;1;1;3;1;1;5;Течис, 66 игры, 53, 03%. Сайленсера, 38 игр, 68,42%.пудж,37 игр, 62,16%.
2021/11/08 1:20:27 PM GMT+3;64;М;24;4000;Не калиброван;4010;11-20 игр (почти каждый день по несколько игр);1;3;2;1;1;1;1;2;1;1;5;4;1;1;1;3;2;4;1;1;1;3;Bounty Hunter 197 56.35%, Grimstroke 147 50.34%, Skywrath Mage 139 53.24%
2021/11/08 1:20:44 PM GMT+3;65;М;17;1070 ммр;970;710;20-30 игр (каждый день по несколько игр);1;3;2;5;1;1;5;4;4;4;2;2;2;5;5;3;3;5;4;2;5;1;"Троль Варлорд, 128 игр, 62%; Сф, 37 игр, 51.4%; Тинкер, 33 игры, 54.5%"
2021/11/08 1:21:00 PM GMT+3;66;М;16;600ммр;460ммр;300;20-30 игр (каждый день по несколько игр);3;4;4;3;2;1;5;4;4;4;2;2;1;1;5;3;2;3;2;1;4;3;sf 52  42%, huskar 36 61% antimage 30 56.7%
2021/11/08 1:21:02 PM GMT+3;67;М;17;2300;2200;1500;11-20 игр (почти каждый день по несколько игр);1;3;3;5;2;2;5;4;3;5;1;1;1;5;5;2;1;1;3;2;1;1;cф 113 игр 53%, шторм 104 игр 48%, джагернаут 71 игра 55%
2021/11/08 1:21:04 PM GMT+3;68;М;14;1090;1090;1500;6-10 игр (пару дней в неделю стабильно-дота);1;1;1;3;1;1;3;3;1;4;4;1;2;3;1;3;2;5;1;3;2;1;огр маг, 173 игры, 61,3%. цм, 87 игр, 56,3%. дазл, 86 игр, 57%.
2021/11/08 1:21:22 PM GMT+3;69;М;25;3900;3540;3752;20-30 игр (каждый день по несколько игр);1;3;1;5;1;1;3;1;3;5;1;1;1;4;5;4;3;3;3;2;3;3;"котл 256 игры, 50%Э; джакиро 216,58%;апарат 167,61%"
2021/11/08 1:21:25 PM GMT+3;70;М;21;4к;3400;4000;11-20 игр (почти каждый день по несколько игр);1;3;1;4;1;1;5;4;1;4;2;2;1;5;4;3;4;4;3;2;2;4;"Lion,172 игры, 61%; PA, 170 игры, 65%; zeus 90 игр, 65%"
2021/11/08 1:21:29 PM GMT+3;71;М;19;5940;5910;7 246;20-30 игр (каждый день по несколько игр);3;3;2;4;3;1;1;4;4;4;2;3;1;4;5;1;2;3;4;2;2;4;пудге,448,53,3% минер,183,54,6%  лион,160,54,4%
2021/11/08 1:21:36 PM GMT+3;72;М;20;2450;2010;5650;Больше 30 игр (по много пабликов каждый день);2;3;3;4;3;1;5;4;2;5;3;3;2;5;5;3;5;5;5;5;4;5;Jugger 350 игр 54%, am 350 игр 53%, spectre 200 игр 61%
2021/11/08 1:21:45 PM GMT+3;73;М;26;3700;3000 (не играю ранкед, но на дотабаффе герой 4 стоит);2380;1-5 игр (по выходным чисто пару каток);1;1;1;4;1;2;1;4;1;4;3;4;3;1;4;3;3;4;4;3;5;4;Сф 70/60%, лайфстилер 59/66%, лион 56/42%
2021/11/08 1:21:46 PM GMT+3;74;М;15;3000;2930;2680;6-10 игр (пару дней в неделю стабильно-дота);1;2;1;2;3;4;1;3;5;4;4;4;2;4;4;4;3;5;3;4;4;4;Тинкер, 52 игры, 57%. Скай, 80 игр, 60%. Ам 70 игр, 59%
2021/11/08 1:21:47 PM GMT+3;75;М;13;250;170;880;11-20 игр (почти каждый день по несколько игр);2;3;1;4;1;3;1;3;1;5;2;3;2;4;4;3;3;4;4;5;4;1;мипо 91 игра 54%, висаж 23 игры 82%, мк 34 игры 59%.
2021/11/08 1:21:49 PM GMT+3;76;М;27;3500;1500;4000;11-20 игр (почти каждый день по несколько игр);2;1;1;4;2;2;1;1;1;4;2;2;1;4;4;4;3;4;5;4;3;2;Пудж 300 50,5%, Мирана 150 52%
2021/11/08 1:21:56 PM GMT+3;77;М;17;2000;1100;1300;11-20 игр (почти каждый день по несколько игр);1;2;2;4;3;1;3;2;2;4;2;1;1;5;5;2;1;2;3;3;1;3;"Arc warden - 60, 50%
Huskar - 43, 50%
Templar Assassin - 45, 47%"
2021/11/08 1:22:06 PM GMT+3;78;М;16;0;0;190;20-30 игр (каждый день по несколько игр);2;3;3;2;4;2;1;5;4;4;3;1;1;1;3;4;3;4;2;3;4;5;анти-маг, 18 игр, 50%: войд спирит, 17 игр, 41%: джагернаут, 10 игр, 70%:
2021/11/08 1:22:09 PM GMT+3;79;М;24;1300;1000;3500;11-20 игр (почти каждый день по несколько игр);1;2;4;4;4;4;1;5;5;5;3;2;1;4;4;4;3;5;4;4;5;5;Пудж, 251, 47,41%, фурион, 154, 50%, легионка, 122, 50%
2021/11/08 1:22:14 PM GMT+3;80;М;23;4200;3200;2100;1-5 игр (по выходным чисто пару каток);3;2;2;3;2;2;3;4;2;4;3;1;1;3;4;2;2;2;1;4;2;2;"Rubick, 110, 52.73%; Weaver, 44, 54.55%;Ogre Magi, 42, 54,76%"
2021/11/08 1:22:29 PM GMT+3;81;М;26;3500;3000;8000;1-5 игр (по выходным чисто пару каток);3;2;3;4;1;3;2;3;3;4;2;2;1;3;4;3;3;5;4;5;3;3;"пудж 244 46%; снайпер 181 51%; бх 167 62%"
2021/11/08 1:22:34 PM GMT+3;82;Ж;17;1200;800;500;20-30 игр (каждый день по несколько игр);2;4;3;3;3;3;2;1;2;4;2;1;2;5;4;3;3;4;3;2;5;2;Сф 75 игр 46%  мипо 60 игр 51% разор 52игры 57%
2021/11/08 1:22:39 PM GMT+3;83;М;26;3500;2800;6000;11-20 игр (почти каждый день по несколько игр);2;2;3;1;2;2;1;4;1;4;4;2;1;1;2;4;3;4;3;3;3;4;"Оракл, 357 игр, 48%
Дизраптор, 264 игры, 52%
Дазл, 242 игры, 55%"
2021/11/08 1:22:40 PM GMT+3;84;М;17;700 птс,  рекрут 5;Рекрут 4, 500 птс;1200;6-10 игр (пару дней в неделю стабильно-дота);1;4;3;5;1;5;1;3;2;4;1;1;1;5;3;5;2;3;5;4;2;2;Сало 80 игр 66% од где то 20-30 игр 77% побед
2021/11/08 1:22:41 PM GMT+3;85;М;31;1700;1280;3000;1-5 игр (по выходным чисто пару каток);2;2;1;4;1;1;3;3;4;5;3;1;1;3;5;3;2;4;1;4;3;3;"Viper - 339 игр, 56.34%; Storm Spirit, 167 игр, 54, 76%; Jakiro, 56 игр, 50%."
