id,e_dighelp,n_dighelp,e_socnet,f_socnet,n_socnet,gt_score,pr01,pr02,pr03,pr04,pr05,pr06,pr07,pr08,pr09,pr10,co01,co02,co03,co04,co05,co06,co07,co08,co09,co10,ut01,ut02,ut03,ut04,ut05,ut06,ut07,ut08,ut09,ut10,ut11,ut12,fa01,fa02,fa03,fa04,fa05,fa06,fa07,fa08,fa09,fa10,de01,de02,de03,de04,de05,de06,de07,de08,de09,de10,de11,un01,un02,un03,un04,un05,un06,un07,un08,un09,un10,un11,un12,gt01,gt02,gt03,gt04,gt05,gt06,socnet,vk,fb,tw,in,tt,yt,freqvk,freqfb,freqtw,freqin,freqtt,freqyt,expvk,expfb,exptw,expin,exptt,expyt,dighelp,siri,alice,salut,oleg,alex,mia,mts,ggle,oth,oth_text,expsiri,expalice,expsalut,expoleg,expalex,expmia,expmts,expggle,expoth,expoth_text,selfdrcar,selfdrexp,selfdrsafe,eduai,eduaiexp,age,sex,edulvl1,spec1,edu2,edulvl2,spec2,jobfield,jobpos,city
17XN2GOE6F,2.5,2,3.5,2.25,4,2.6666666666666665,3,4,4,5,2,4,3,4,4,3,3,2,4,4,2,2,3,1,2,2,4,3,4,3,3,4,2,4,4,2,2,4,1,1,1,2,1,3,2,1,1,1,4,2,3,0,5,2,3,3,5,2,1,4,3,2,3,4,4,4,4,3,3,4,3,2,3,2,3,3,3,1,1,1,0,1,0,1,3,2,-2,3,-2,1,4,3,-2,4,-2,3,1,0,1,1,0,0,0,0,0,0,-2,-2,3,2,-2,-2,-2,-2,-2,-2,-2,0,NA,NA,1,4,40,m,specialist,Сервис и техническая эксплуатация транспортных и технологических машин.,0,-2,-2,Экологическое проектирование,Инженер,Екатеринбург
1anEmI3vYK,4,1,4,2,3,0.6666666666666666,3,3,1,2,4,4,4,4,4,4,4,3,4,4,4,1,2,1,1,3,4,4,5,4,3,4,4,4,4,2,4,4,2,1,0,1,3,2,2,1,3,2,4,4,4,2,5,3,3,4,5,3,5,3,3,4,3,4,4,3,4,4,3,4,4,1,1,1,1,0,0,1,1,0,0,1,0,1,2,-2,-2,2,-2,2,4,-2,-2,4,-2,4,1,0,1,0,0,0,0,0,0,0,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,0,NA,NA,1,4,36,m,master,Программист,0,-2,-2,-,Программист,Москва
1d7CXSliMB,NA,NA,4.666666666666667,2,3,2.8333333333333335,4,2,3,2,0,3,3,4,4,4,2,2,3,3,3,3,2,3,3,2,4,3,3,2,2,4,4,4,4,1,4,2,4,1,4,4,4,4,1,1,1,4,3,2,3,2,3,3,2,3,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,1,1,1,0,1,0,0,3,0,-2,3,-2,-2,5,4,-2,5,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,NA,NA,1,3,41,f,specialist,строительство железных дорог,0,-2,-2,РЖД,инженер,воронеж
1fgBHEHq6T,3,2,3.6666666666666665,2.8333333333333335,6,1.5,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,2,1,2,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,1,1,3,1,1,1,1,1,1,1,3,3,2,3,3,3,4,3,3,4,4,4,1,0,1,1,0,0,0,0,0,0,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,0,NA,NA,1,3,40,m,college,техник программист,1,college,медбрат,IT,техник-программист,Йошкар-Ола
1K9AZYhfrl,4,1,NA,NA,NA,1.8333333333333333,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,3,2,2,3,3,3,3,3,2,4,3,3,3,2,3,2,2,2,2,1,1,2,2,2,2,2,2,3,1,2,3,5,1,2,3,5,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,2,2,2,1,3,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,1,0,0,0,0,0,0,0,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,0,NA,NA,0,NA,48,f,bachelor,пед,0,-2,-2,нефте добыча,специалист,сургут
1Kr3AOODZh,4,1,4,3,1,3.1666666666666665,4,2,2,2,3,4,4,3,4,4,3,3,3,4,3,4,1,2,3,4,4,4,3,4,4,3,4,4,4,3,2,4,3,2,2,2,2,3,1,2,2,2,1,3,2,3,3,1,2,3,2,2,1,4,3,4,3,3,2,2,4,4,3,4,3,3,3,3,3,3,4,1,1,0,0,0,0,0,3,-2,-2,-2,-2,-2,4,-2,-2,-2,-2,-2,1,0,1,0,0,0,0,0,0,0,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,0,NA,NA,0,NA,37,m,college,Техник ЭВМ,0,-2,-2,IT,Менеджер,"Всеволожск, Ленинградская область"
1RDSEuWBwm,NA,NA,2.25,2.75,4,2.1666666666666665,3,3,2,3,2,3,2,3,3,3,3,3,3,2,3,3,2,2,3,3,3,3,3,3,2,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,3,2,3,3,2,3,3,3,2,3,2,3,3,3,2,3,3,2,2,2,2,2,3,1,1,1,0,1,0,1,3,2,-2,3,-2,3,1,2,-2,3,-2,3,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,NA,NA,0,NA,36,m,specialist,Дизайн,0,-2,-2,Образование,Преподаватель,Ижевск
1RFZ3YYyia,3,2,2.6,2.4,5,0.8333333333333334,3,3,4,4,2,3,1,3,3,3,0,2,3,3,0,0,1,0,0,1,4,3,3,4,2,3,2,1,1,1,1,1,2,1,2,0,2,2,2,3,2,2,2,1,0,0,3,2,3,2,3,2,3,2,2,4,3,3,0,0,3,3,3,4,1,0,0,2,1,1,1,1,1,1,0,1,1,1,3,3,-2,3,1,2,4,2,-2,3,1,3,1,0,1,0,0,0,0,0,1,0,-2,-2,3,-2,-2,-2,-2,-2,3,-2,-2,0,NA,NA,1,3,38,f,specialist,программное обеспечение вычислительных систем,0,-2,-2,-,-,Оренбург
1WjZ4KUvYG,4,4,3.6666666666666665,2.3333333333333335,3,1.8333333333333333,4,4,4,4,3,5,4,4,3,3,0,3,3,5,4,4,1,0,3,3,5,5,5,5,4,5,4,5,5,1,4,4,1,2,0,0,3,3,2,4,2,4,3,2,4,1,5,3,4,4,5,3,1,5,4,3,4,4,4,3,4,3,3,4,5,2,2,2,2,0,3,1,1,0,0,1,1,0,3,-2,-2,3,1,-2,4,-2,-2,4,3,-2,1,0,1,0,1,0,0,1,1,0,-2,-2,4,-2,4,-2,-2,4,4,-2,-2,0,NA,NA,0,NA,36,f,specialist,Юрисконсульт,0,-2,-2,Консалтинг,Юрисконсульт,Вологда
1zVgfYnwfn,NA,NA,3,3,1,2,3,3,3,2,3,2,3,3,3,2,4,3,2,5,5,4,2,3,3,3,3,3,2,3,3,3,3,2,3,3,2,3,3,1,3,2,3,3,2,2,2,2,2,2,3,3,4,3,3,3,5,2,2,3,2,3,3,3,2,3,3,2,3,3,3,2,3,2,1,2,2,1,0,1,0,0,0,0,-2,3,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,NA,NA,0,NA,52,m,postgrad,Филолог,0,-2,-2,Медиа,Продюсер инфоцентра,Москва
27sMU3wN3O,3,1,3,1,1,2.8333333333333335,3,3,3,3,3,3,3,3,2,2,2,2,3,3,2,2,2,2,2,3,3,3,3,3,3,3,2,3,3,2,3,3,2,2,2,2,2,3,2,2,2,2,2,2,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,1,0,0,0,0,0,1,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,1,0,1,0,0,0,0,0,0,0,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,0,NA,NA,0,NA,30,f,specialist,Инженер,0,-2,-2,HR,HR,Санкт-Петербург
292nP1CpGq,2,3,2.5,2.5,4,2.1666666666666665,3,4,3,4,2,3,2,2,3,1,2,2,3,3,2,2,2,2,2,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,1,2,3,3,3,3,3,3,1,3,1,1,3,3,3,3,3,2,2,3,3,3,3,3,1,1,2,1,3,1,3,1,2,2,3,4,1,1,1,1,0,1,0,1,3,1,-2,3,-2,3,2,2,-2,3,-2,3,1,1,1,0,0,0,0,0,1,0,-2,2,2,-2,-2,-2,-2,-2,2,-2,-2,0,NA,NA,1,3,18,m,school,Социально-гуманитарное направление,0,-2,-2,-,-,Москва
2C5vqAxJUd,4,1,3.5,2,4,3,2,2,3,3,1,3,3,3,3,1,3,3,4,4,3,4,1,2,3,3,4,3,4,3,4,3,3,4,5,2,2,3,3,2,1,1,2,2,3,2,2,3,3,2,2,3,3,1,3,2,4,2,3,2,3,3,3,3,4,2,2,3,3,2,3,4,3,3,3,2,3,1,1,0,0,1,1,1,2,-2,-2,2,2,2,3,-2,-2,3,4,4,1,0,1,0,0,0,0,0,0,0,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,0,NA,NA,0,NA,48,m,bachelor,правовед,0,-2,-2,безопасность,начальник отдела,ростов- на - дону
2F5efYz8hr,3,2,3.6666666666666665,1.6666666666666667,6,1.5,3,3,3,3,3,1,3,2,2,3,2,3,2,2,3,2,3,3,3,3,3,3,3,2,3,4,3,3,2,2,2,3,2,2,1,2,3,3,3,2,2,3,3,3,2,2,3,3,3,2,4,2,3,4,3,4,4,3,2,3,4,3,2,3,2,1,1,1,2,1,3,1,1,1,1,1,1,1,3,0,0,3,3,1,4,3,3,4,4,4,1,1,1,0,0,0,0,0,0,0,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,0,NA,NA,0,NA,19,m,bachelor,Техносферная безопасность,0,-2,-2,-,-,Зеленоград
2kqeEL9CHv,3,2,3,1.5,2,2.8333333333333335,4,2,4,3,2,3,3,4,3,3,2,3,3,4,2,3,1,2,3,2,4,3,3,3,3,3,3,3,4,2,3,3,3,3,2,2,3,3,3,2,4,3,3,2,1,1,4,1,3,3,3,3,2,4,1,3,2,3,1,1,3,3,2,3,3,3,3,3,3,2,3,1,1,0,0,1,0,0,2,-2,-2,1,-2,-2,3,-2,-2,3,-2,-2,1,0,1,1,0,0,0,0,0,0,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,0,NA,NA,0,NA,54,f,college,Техник-связи,0,-2,-2,Телекоммуникация.,Инженер.,Новоалтайск.
2quJKHNAKL,4,1,4,0.8,5,2.5,1,3,1,4,0,1,1,3,1,4,3,4,4,5,4,4,0,2,3,2,5,1,4,3,4,5,2,4,0,2,3,2,3,0,0,3,4,3,2,1,0,4,0,0,4,0,5,3,2,2,4,2,1,4,2,5,0,5,0,1,2,0,4,1,0,2,2,3,3,4,1,1,1,1,1,1,0,1,2,1,0,0,-2,1,4,4,4,4,-2,4,1,0,1,0,0,0,0,0,0,0,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,1,3,3,0,NA,38,f,college,педагог-электротехник,1,college,архитектор,-,-,Армавир
3iQ7cjWIm6,3.3333333333333335,3,2.3333333333333335,3,3,1.1666666666666667,2,3,3,2,4,3,3,3,2,4,1,1,3,4,1,0,4,1,0,0,5,5,5,5,5,4,4,2,1,4,5,5,1,2,4,1,2,1,3,5,2,2,3,2,2,1,4,4,1,4,4,3,4,5,3,2,4,3,4,1,5,1,2,5,5,0,0,1,3,1,2,1,1,0,0,1,0,1,3,-2,-2,3,-2,3,1,-2,-2,5,-2,1,1,0,1,1,0,0,0,0,1,0,-2,-2,4,3,-2,-2,-2,-2,3,-2,-2,0,NA,NA,1,2,23,m,college,технолог поп,0,-2,-2,-,-,Казань
3ks3QZaPmx,3,1,3.3333333333333335,2.3333333333333335,3,2.6666666666666665,3,1,2,2,1,2,2,3,3,1,2,2,1,4,2,4,0,1,2,2,4,4,3,4,3,4,4,2,3,3,2,2,0,4,0,0,2,2,1,1,1,1,2,1,1,3,4,1,4,1,4,1,1,2,2,4,2,2,1,2,2,2,2,1,2,2,2,2,3,3,4,1,1,1,0,0,0,1,2,2,-2,-2,-2,3,3,3,-2,-2,-2,4,1,0,1,0,0,0,0,0,0,0,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,0,NA,NA,0,NA,21,f,school,Гримёр,0,-2,-2,Развлечения,Фотограф,Москва
3N1zjFzb82,3,2,NA,NA,NA,1.8333333333333333,3,2,3,1,3,2,2,3,3,2,2,2,3,4,2,1,2,1,2,2,4,4,4,1,4,3,4,3,3,3,3,4,3,3,1,0,3,3,2,3,4,5,3,2,2,2,4,3,2,2,4,2,2,3,3,1,2,3,1,3,4,0,2,2,3,2,2,1,1,2,3,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,1,0,1,1,0,0,0,0,0,0,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,0,NA,NA,0,NA,60,f,college,экономист,0,-2,-2,-,-,Кропоткин
3PBVRnDHHV,4,1,3.3333333333333335,2.6666666666666665,3,2.1666666666666665,4,2,3,2,3,4,3,3,3,3,3,4,3,3,3,2,1,2,2,3,5,4,5,3,3,5,4,2,5,2,5,5,2,2,2,2,2,3,2,2,2,3,3,2,2,2,5,2,5,3,5,2,2,4,2,4,4,4,2,3,3,0,3,3,4,2,2,3,1,3,2,1,1,0,0,1,1,0,3,-2,-2,2,3,-2,5,-2,-2,5,0,-2,1,0,1,0,0,0,0,0,0,0,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,0,NA,NA,0,NA,35,f,school,Не училась,0,-2,-2,Не работаю,Нет должности,Барнаул
3uVnF8WPVZ,3.6666666666666665,3,5,2.2,5,2.5,3,3,4,1,3,4,4,4,3,4,3,0,4,5,4,1,5,4,4,4,4,4,4,1,4,4,4,4,4,1,4,4,0,0,1,1,0,3,1,1,0,4,4,3,0,4,4,4,1,4,4,3,0,3,4,5,3,4,4,1,3,3,3,4,4,2,2,2,3,3,3,1,1,1,0,1,1,1,3,0,-2,3,3,2,5,5,-2,5,5,5,1,1,1,0,0,0,1,0,0,0,-2,5,5,-2,-2,-2,1,-2,-2,-2,-2,0,NA,NA,0,NA,26,f,master,Юриспруденция,0,-2,-2,-,-,Челябинск
3WSvl9SrqG,3,2,2,1,1,1.5,1,1,2,1,4,5,2,4,5,3,4,2,4,4,1,2,1,2,4,1,5,4,5,3,4,5,5,4,4,3,3,5,5,3,1,1,5,3,1,4,4,5,1,4,1,1,0,4,3,4,1,4,3,4,1,0,1,1,1,3,4,2,1,4,1,1,1,2,3,1,1,1,1,0,0,0,0,0,1,-2,-2,-2,-2,-2,2,-2,-2,-2,-2,-2,1,0,1,1,0,0,0,0,0,0,-2,-2,3,3,-2,-2,-2,-2,-2,-2,-2,0,NA,NA,1,4,37,f,college,бухгалтер,0,-2,-2,транспорт,диспетчер,майкоп
42YX9G92Qr,NA,NA,2.6666666666666665,2.3333333333333335,3,1.5,3,2,3,2,3,3,2,2,3,1,1,2,2,3,1,3,1,2,2,1,3,3,3,4,3,3,3,4,3,1,3,4,1,0,1,1,1,1,1,1,1,1,3,1,1,2,3,3,3,2,1,1,1,1,3,4,4,1,1,3,1,3,1,1,4,1,1,2,1,2,2,1,1,0,0,1,0,1,2,-2,-2,3,-2,2,3,-2,-2,2,-2,3,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,NA,NA,0,NA,38,f,bachelor,Экономика,0,-2,-2,Колл центр,Отдел контроля качества,Иваново
4f9W10V6rs,3,2,3,1.6666666666666667,3,2.8333333333333335,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,2,2,3,3,2,2,3,3,3,3,3,3,2,3,2,3,3,3,2,2,4,3,2,3,3,2,3,3,3,3,3,1,0,1,0,1,0,1,-2,0,-2,3,-2,2,-2,3,-2,3,-2,3,1,1,1,0,0,0,0,0,0,0,-2,3,3,-2,-2,-2,-2,-2,-2,-2,-2,0,NA,NA,0,NA,62,f,master,Инженер-экономист лесной промышленности и лесного хозяйства,0,-2,-2,Образование,Подсобный рабочий,Томск
4FNyYiB2m7,NA,NA,3,0,1,2.6666666666666665,4,3,3,3,3,4,2,4,3,3,1,1,4,4,1,1,1,2,1,1,5,4,4,3,4,3,1,4,4,1,4,4,1,2,1,1,1,2,2,2,1,4,1,0,1,1,4,3,3,1,4,1,1,3,2,3,3,3,1,2,2,2,2,2,2,3,3,3,3,1,3,1,1,0,0,0,0,0,0,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,NA,NA,0,NA,43,m,college,технолог,0,-2,-2,-,-,Спб
4OOH0veBaG,4,1,4.5,3,2,1.5,3,1,3,4,0,3,1,3,4,1,1,3,4,5,2,0,1,1,1,0,4,3,4,4,4,4,4,3,3,2,0,5,3,3,0,0,2,0,2,3,1,4,3,1,0,2,4,1,3,4,4,0,2,4,3,3,3,3,4,3,2,0,2,2,2,1,2,1,1,3,1,1,1,0,0,1,0,0,3,-2,-2,3,-2,-2,5,-2,-2,4,-2,-2,1,0,1,0,0,0,0,0,0,0,-2,-2,4,-2,-2,-2,-2,-2,-2,-2,-2,0,NA,NA,0,NA,34,f,master,юрист,0,-2,-2,информационные технологии,инженер,Ростов-на-Дону
4PS3dGM6uP,NA,NA,1.25,2.75,4,0.6666666666666666,2,1,2,1,0,3,0,2,1,3,0,1,1,3,0,1,1,2,0,1,4,3,3,1,3,4,3,0,5,2,1,5,2,2,2,0,1,1,1,1,2,2,1,0,0,4,1,0,2,1,2,0,1,3,1,2,1,2,1,0,1,1,2,4,3,1,0,0,1,1,1,1,1,1,0,1,0,1,3,2,-2,3,-2,3,0,2,-2,0,-2,3,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,NA,NA,0,NA,34,f,specialist,Социология,0,-2,-2,Фриланс,Фрилансер,Москва
4qqUrRUpeN,NA,NA,3,3,1,1.5,2,3,2,2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,3,3,2,2,2,3,3,3,3,3,2,2,2,2,3,2,2,2,2,3,2,2,3,3,2,2,3,3,3,3,2,2,3,3,3,2,3,2,1,2,2,2,1,1,1,1,0,0,0,0,0,3,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,NA,NA,0,NA,38,m,specialist,Техник,0,-2,-2,Транспорт,Мастер,Брянск
4twihgKt66,NA,NA,5,2.25,4,0,2,3,2,2,3,3,3,2,3,3,2,2,3,3,2,3,2,2,2,2,3,2,4,3,3,3,3,3,2,3,3,3,2,2,3,2,2,3,3,5,3,3,2,2,2,2,4,4,4,2,3,2,3,1,1,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,1,0,0,1,1,3,2,-2,-2,3,1,5,5,-2,-2,5,5,0,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,NA,NA,0,NA,28,f,school,Нет,0,-2,-2,-,-,Смоленск
